timestamp,filename,word_count,tokens_used,status
2026-04-23 15:20:26,mitre_attack_03_privilege_escalation_t1548_abuse_elevati.txt,868,0,SUCCESS
2026-04-23 15:20:48,mitre_attack_03_privilege_escalation_t1068_exploitation_.txt,957,0,SUCCESS
2026-04-23 15:21:07,mitre_attack_03_privilege_escalation_t1055_process_injec.txt,938,0,SUCCESS
2026-04-23 15:21:27,mitre_attack_03_privilege_escalation_t1574_hijack_execut.txt,1084,0,SUCCESS
2026-04-23 15:21:45,mitre_attack_03_privilege_escalation_t1550_use_alternate.txt,901,0,SUCCESS
2026-04-23 15:22:05,mitre_attack_04_defense_evasion_t1562_impair_defenses.txt,1002,0,SUCCESS
2026-04-23 15:22:26,mitre_attack_04_defense_evasion_t1218_system_binary_prox.txt,984,0,SUCCESS
2026-04-23 15:22:49,mitre_attack_04_defense_evasion_t1497_virtualizationsand.txt,980,0,SUCCESS
2026-04-23 15:23:10,mitre_attack_04_defense_evasion_t1036_masquerading.txt,906,0,SUCCESS
2026-04-23 15:23:31,mitre_attack_04_defense_evasion_t1070_indicator_removal.txt,996,0,SUCCESS
2026-04-23 15:23:51,windows_security_01_event_logs_security_event_ids_4624.txt,1045,0,SUCCESS
2026-04-23 15:24:12,windows_security_01_event_logs_4625.txt,1127,0,SUCCESS
2026-04-23 15:24:29,windows_security_01_event_logs_4648.txt,914,0,SUCCESS
2026-04-23 15:24:49,windows_security_01_event_logs_4672.txt,883,0,SUCCESS
2026-04-23 15:25:06,windows_security_01_event_logs_4720.txt,898,0,SUCCESS
2026-04-23 15:25:23,windows_security_01_event_logs_powershell_script_block_l.txt,858,0,SUCCESS
2026-04-23 15:25:43,windows_security_01_event_logs_sysmon_event_analysis_eve.txt,987,0,SUCCESS
2026-04-23 15:26:01,windows_security_01_event_logs_3.txt,979,0,SUCCESS
2026-04-23 15:26:18,windows_security_01_event_logs_7.txt,863,0,SUCCESS
2026-04-23 15:26:37,windows_security_01_event_logs_10.txt,888,0,SUCCESS
2026-04-23 15:26:54,windows_security_01_event_logs_11.txt,1010,0,SUCCESS
2026-04-23 15:27:13,windows_security_01_event_logs_windows_defender_logs.txt,919,0,SUCCESS
2026-04-23 15:27:32,windows_security_01_event_logs_log_correlation_for_later.txt,1029,0,SUCCESS
2026-04-23 15:27:52,windows_security_02_active_directory_active_directory_ha.txt,843,0,SUCCESS
2026-04-23 15:28:14,windows_security_02_active_directory_group_policy_object.txt,1135,0,SUCCESS
2026-04-23 15:28:39,windows_security_02_active_directory_kerberos_authentica_NEEDS_REVIEW.txt,1405,0,WARNING_WC_1405
2026-04-23 15:28:57,windows_security_02_active_directory_ldap_security_and_s.txt,958,0,SUCCESS
2026-04-23 15:29:14,windows_security_02_active_directory_domain_controller_p.txt,873,0,SUCCESS
2026-04-23 15:29:31,windows_security_03_endpoint_hardening_bitlocker_encrypt.txt,961,0,SUCCESS
2026-04-23 15:29:51,windows_security_03_endpoint_hardening_applocker_and_wda.txt,991,0,SUCCESS
2026-04-23 15:30:11,windows_security_03_endpoint_hardening_credential_guard_.txt,993,0,SUCCESS
2026-04-23 15:30:29,windows_security_03_endpoint_hardening_attack_surface_re.txt,875,0,SUCCESS
2026-04-23 15:30:47,aws_security_01_iam_iam_users.txt,905,0,SUCCESS
2026-04-23 15:31:03,aws_security_01_iam_groups.txt,861,0,SUCCESS
2026-04-23 15:31:20,aws_security_01_iam_and_roles_management.txt,898,0,SUCCESS
2026-04-23 15:31:39,aws_security_01_iam_iam_policies_identity-based_vs_resou.txt,977,0,SUCCESS
2026-04-23 15:31:54,aws_security_01_iam_aws_organizations_and_scps.txt,931,0,SUCCESS
2026-04-23 15:32:13,aws_security_01_iam_cross-account_access_patterns.txt,912,0,SUCCESS
2026-04-23 15:32:32,aws_security_01_iam_federation_and_sso.txt,953,0,SUCCESS
2026-04-23 15:32:47,aws_security_01_iam_iam_access_analyzer.txt,925,0,SUCCESS
2026-04-23 15:33:03,aws_security_02_security_services_aws_security_hub_confi.txt,929,0,SUCCESS
2026-04-23 15:33:19,aws_security_02_security_services_amazon_guardduty_threa.txt,773,0,SUCCESS
2026-04-23 15:33:37,aws_security_02_security_services_aws_cloudtrail_logging.txt,1005,0,SUCCESS
2026-04-23 15:33:52,aws_security_02_security_services_amazon_inspector_vulne.txt,890,0,SUCCESS
2026-04-23 15:34:08,aws_security_02_security_services_aws_config_compliance_.txt,868,0,SUCCESS
2026-04-23 15:34:25,aws_security_02_security_services_amazon_detective_inves.txt,1003,0,SUCCESS
2026-04-23 20:34:27,mitre_attack_02_execution_persistence_t1546_event_trigge.txt,1158,1877,SUCCESS
2026-04-23 20:35:11,aws_security_03_networking_vpc_security_groups_and_nacls.txt,1141,1621,SUCCESS
2026-04-23 20:35:31,aws_security_03_networking_aws_waf_and_shield.txt,893,1367,SUCCESS
2026-04-23 20:35:47,aws_security_03_networking_aws_network_firewall.txt,925,1275,SUCCESS
2026-04-23 20:36:04,aws_security_03_networking_vpc_flow_logs_analysis.txt,894,1272,SUCCESS
